_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks,,,,,,,,,,
5f9fc21afb43357b9094a2d0,02-11-2020 13:53,Social Media Marketing,LAKSHMI JOINT VENTURE,Bangalore,Immediately, 10000 /month,3 Months,14 Nov' 20,Internship,"[""Facebook Marketing"",""Certificate"","" Letter of recommendation""]",,,,,,,,,,
5f9fc21bfb43357b9094a2d1,02-11-2020 13:53,Business Development (Sales),LAKSHMI JOINT VENTURE,Chennai,Immediately, 10000 /month,3 Months,14 Nov' 20,Internship,"[""MS-PowerPoint"",""MS-Excel"",""Certificate"","" Letter of recommendation""]",,,,,,,,,,
5f9fc21dfb43357b9094a2d2,02-11-2020 13:53,Operations,Bambrew,Bangalore,Immediately, 10000 /month,6 Months,14 Nov' 20,Internship,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]",,,,,,,,,,
5f9fc21dfb43357b9094a2d3,02-11-2020 13:53,Operations,Bambrew,Bangalore,Immediately, 10000 /month,6 Months,14 Nov' 20,Internship with job offer,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Job offer""]",,,,,,,,,,
5f9fc21efb43357b9094a2d4,02-11-2020 13:53,Telecalling,Brainstorm Consulting,Bangalore,Immediately, 10000-15000 /month,6 Months,14 Nov' 20,Internship,"[""Certificate""]",,,,,,,,,,
5f9fc21ffb43357b9094a2d5,02-11-2020 13:53,Research And Development (Grey Water Treatment),Intellicool Solutions Private Limited,Bangalore,Immediately, 10000-12000 /month,6 Months,14 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]",,,,,,,,,,
5f9fc220fb43357b9094a2d6,02-11-2020 13:53,Marketing,Sparcolife Digital Healthcare Technologies Private Limited,Bangalore,Immediately, 8000-15000 /month,3 Months,14 Nov' 20,Internship with job offer,"[""Letter of recommendation"","" Flexible work hours"","" Job offer""]",,,,,,,,,,
5f9fc221fb43357b9094a2d7,02-11-2020 13:54,Human Resources (HR),ICS Consultancy Services,Bangalore,Immediately, 5000 /month,2 Months,14 Nov' 20,Internship,"[""Social Media Marketing"",""MS-Office"",""English Proficiency (Spoken)"",""Certificate""]",,,,,,,,,,
5f9fc223fb43357b9094a2d8,02-11-2020 13:54,Business Development (Sales),Codingal Education Private Limited,Bangalore,Immediately, 5000 /month,3 Months,14 Nov' 20,Internship,"[""MS-Office"",""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation""]",,,,,,,,,,
5f9fc224fb43357b9094a2d9,02-11-2020 13:54,Inventory Management,BUMSONTHESADDLE,Bangalore,Immediately, 8000-10000 /month,6 Months,14 Nov' 20,Internship with job offer,"[""MS-Excel"",""Copywriting"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]",,,,,,,,,,
5f9fc224fb43357b9094a2da,02-11-2020 13:54,Assembly & Manufacturing,Openwater.in Private Limited,Bangalore,Immediately, 15000 /month,6 Months,14 Nov' 20,Internship,"[""Certificate"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]",,,,,,,,,,
5f9fc225fb43357b9094a2db,02-11-2020 13:54,Event Management,CBS Innovations,Bangalore,Immediately, 8000-10000 /month,1 Month,14 Nov' 20,Internship,"[""Certificate"","" Flexible work hours""]",,,,,,,,,,
5f9fc226fb43357b9094a2dc,02-11-2020 13:54,Social Media Marketing,Fincomienzo Solutions Private Limited,Delhi,Immediately, 2000 /month +  Incentives,4 Months,14 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours""]",,,,,,,,,,
5f9fc227fb43357b9094a2dd,02-11-2020 13:54,Customer Service,Mutterfly,Bangalore,Immediately, 7000-10000 /month,2 Months,14 Nov' 20,Internship with job offer,"[""Client Relationship"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Kannada Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc228fb43357b9094a2de,02-11-2020 13:54,Graphic Design,WebMOBI,Bangalore,Immediately, 6000-7000 /month,2 Months,14 Nov' 20,Internship with job offer,"[""Adobe Photoshop"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week"","" Job offer""]",,,,,,,,,,
5f9fc229fb43357b9094a2df,02-11-2020 13:54,Content Writing,Duru Cooperation Private Limited,Bangalore,Immediately, 25000 /month,6 Months,14 Nov' 20,Internship,[],,,,,,,,,,
5f9fc22afb43357b9094a2e0,02-11-2020 13:54,Business Development (Sales),Yes Property,Bangalore,Immediately, 8000-12000 /month,3 Months,14 Nov' 20,Internship,"[""Social Media Marketing"",""Certificate"","" Letter of recommendation""]",,,,,,,,,,
5f9fc22bfb43357b9094a2e1,02-11-2020 13:54,Interior Design,12 Square Interiors,Bangalore,Immediately, 10000 /month,2 Months,14 Nov' 20,Internship with job offer,"[""AutoCAD"",""Google SketchUp "",""3ds Max"",""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
